region_key,regional_active_licensed_count,regional_diesel_ml,regional_scr_diesel_ml,regional_def_central_ml,share_of_national_fleet,share_of_national_diesel,share_of_national_def_central,rank,admin_bias_flag
AUCKLAND,2523,16.628,4.528,0.181,8.07,8.16,8.63,1,1
ASHBURTON DISTRICT,1768,11.548,2.985,0.119,5.66,5.67,5.69,2,0
MARLBOROUGH DISTRICT,1413,9.615,2.701,0.108,4.52,4.72,5.15,3,0
SOUTHLAND DISTRICT,1366,9.068,2.406,0.096,4.37,4.45,4.58,4,0
MATAMATA-PIAKO DISTRICT,1091,7.233,1.914,0.077,3.49,3.55,3.65,5,0
TIMARU DISTRICT,1073,6.884,1.672,0.067,3.43,3.38,3.19,6,0
CHRISTCHURCH CITY,910,5.885,1.541,0.062,2.91,2.89,2.94,7,1
HAMILTON CITY,861,5.809,1.647,0.066,2.76,2.85,3.14,8,1
INVERCARGILL CITY,846,5.592,1.47,0.059,2.71,2.74,2.8,9,1
WAIPA DISTRICT,842,5.534,1.398,0.056,2.69,2.72,2.66,10,0
TASMAN DISTRICT,867,5.332,1.161,0.046,2.78,2.62,2.21,11,0
HASTINGS DISTRICT,772,5.26,1.584,0.063,2.47,2.58,3.02,12,0
PALMERSTON NORTH CITY,742,4.81,1.236,0.049,2.37,2.36,2.35,13,1
WAIKATO DISTRICT,733,4.795,1.199,0.048,2.35,2.35,2.28,14,0
WAITAKI DISTRICT,696,4.43,1.075,0.043,2.23,2.17,2.05,15,0
WHANGAREI DISTRICT,622,4.138,1.16,0.046,1.99,2.03,2.21,16,0
GORE DISTRICT,622,4.125,1.095,0.044,1.99,2.02,2.09,17,0
SELWYN DISTRICT,605,3.798,0.899,0.036,1.94,1.86,1.71,18,0
WESTERN BAY OF PLENTY DISTRICT,570,3.746,1.057,0.042,1.82,1.84,2.01,19,0
SOUTH TARANAKI DISTRICT,554,3.536,0.845,0.034,1.77,1.74,1.61,20,0
CLUTHA DISTRICT,537,3.503,0.884,0.035,1.72,1.72,1.68,21,0
NEW PLYMOUTH DISTRICT,523,3.186,0.637,0.025,1.67,1.56,1.21,22,0
GISBORNE DISTRICT,500,3.14,0.733,0.029,1.6,1.54,1.4,23,0
CENTRAL OTAGO DISTRICT,467,3.073,0.799,0.032,1.49,1.51,1.52,24,0
WAIMAKARIRI DISTRICT,504,3.048,0.652,0.026,1.61,1.5,1.24,25,0
ROTORUA DISTRICT,429,2.967,0.86,0.034,1.37,1.46,1.64,26,0
DUNEDIN CITY,429,2.711,0.625,0.025,1.37,1.33,1.19,27,0
SOUTH WAIKATO DISTRICT,382,2.628,0.744,0.03,1.22,1.29,1.42,28,0
MANAWATU DISTRICT,384,2.545,0.665,0.027,1.23,1.25,1.27,29,0
TAURANGA CITY,383,2.538,0.714,0.029,1.23,1.25,1.36,30,0
FAR NORTH DISTRICT,412,2.509,0.524,0.021,1.32,1.23,1.0,31,0
TARARUA DISTRICT,379,2.452,0.643,0.026,1.21,1.2,1.22,32,0
HOROWHENUA DISTRICT,382,2.421,0.574,0.023,1.22,1.19,1.09,33,0
WAIMATE DISTRICT,364,2.352,0.596,0.024,1.16,1.15,1.14,34,0
RANGITIKEI DISTRICT,353,2.337,0.636,0.025,1.13,1.15,1.21,35,0
WHAKATANE DISTRICT,328,2.137,0.54,0.022,1.05,1.05,1.03,36,0
WELLINGTON CITY,291,2.093,0.667,0.027,0.93,1.03,1.27,37,0
HURUNUI DISTRICT,323,2.076,0.493,0.02,1.03,1.02,0.94,38,0
TAUPO DISTRICT,264,1.832,0.538,0.022,0.84,0.9,1.02,39,0
HAURAKI DISTRICT,288,1.831,0.451,0.018,0.92,0.9,0.86,40,0
KAIPARA DISTRICT,296,1.81,0.368,0.015,0.95,0.89,0.7,41,0
OTOROHANGA DISTRICT,268,1.753,0.455,0.018,0.86,0.86,0.87,42,0
NAPIER CITY,238,1.553,0.392,0.016,0.76,0.76,0.75,43,0
THAMES-COROMANDEL DISTRICT,244,1.539,0.357,0.014,0.78,0.75,0.68,44,0
CENTRAL HAWKE'S BAY DISTRICT,212,1.401,0.382,0.015,0.68,0.69,0.73,45,0
QUEENSTOWN-LAKES DISTRICT,210,1.359,0.321,0.013,0.67,0.67,0.61,46,0
MASTERTON DISTRICT,198,1.261,0.301,0.012,0.63,0.62,0.57,47,0
MACKENZIE DISTRICT,188,1.235,0.313,0.013,0.6,0.61,0.6,48,0
SOUTH WAIRARAPA DISTRICT,181,1.187,0.288,0.012,0.58,0.58,0.55,49,0
STRATFORD DISTRICT,178,1.122,0.257,0.01,0.57,0.55,0.49,50,0
WHANGANUI DISTRICT,169,1.059,0.26,0.01,0.54,0.52,0.5,51,0
RUAPEHU DISTRICT,165,1.055,0.255,0.01,0.53,0.52,0.49,52,0
WAITOMO DISTRICT,140,0.937,0.259,0.01,0.45,0.46,0.49,53,0
CARTERTON DISTRICT,127,0.827,0.205,0.008,0.41,0.41,0.39,54,0
BULLER DISTRICT,111,0.749,0.201,0.008,0.36,0.37,0.38,55,0
GREY DISTRICT,115,0.734,0.179,0.007,0.37,0.36,0.34,56,0
OPOTIKI DISTRICT,118,0.729,0.164,0.007,0.38,0.36,0.31,57,0
WESTLAND DISTRICT,111,0.705,0.147,0.006,0.35,0.35,0.28,58,0
KAPITI COAST DISTRICT,119,0.697,0.142,0.006,0.38,0.34,0.27,59,0
NELSON CITY,112,0.69,0.158,0.006,0.36,0.34,0.3,60,0
,98,0.667,0.199,0.008,0.31,0.33,0.38,61,0
WAIROA DISTRICT,64,0.388,0.082,0.003,0.2,0.19,0.16,62,0
KAIKOURA DISTRICT,60,0.356,0.069,0.003,0.19,0.17,0.13,63,0
PORIRUA CITY,51,0.341,0.089,0.004,0.16,0.17,0.17,64,0
LOWER HUTT CITY,39,0.249,0.059,0.002,0.13,0.12,0.11,65,0
UPPER HUTT CITY,36,0.225,0.046,0.002,0.12,0.11,0.09,66,0
KAWERAU DISTRICT,5,0.026,0.005,0.0,0.02,0.01,0.01,67,0
